"","coef_name","coef_value","odds_value"
"1","intercept",-1.62743743063187,0.196432301113158
"2","in_strike_zone",4.3271244461878,75.7262183701129
"3","pitch_number",-0.167305737125951,0.845940936245342
"4","count0-1",-0.0351492018490896,0.965461356891199
"5","az",0.00576970691229298,1.00578638372924
"6","vx0",-0.00147924062201618,0.998521852915125
"7","ax",-0.000560544735375971,0.999439612340474
"8","release_spin_rate",0.000165308242874202,1.00016532190703
"9","at_bat_number",-0.0000620100544288692,0.999937991868155
"10","pitcher_season_pitches_thrown",0.0000312039778780229,1.00003120446473
"11","spin_axis",-0.00000996507198707218,0.999990034977664
"12","ump_season_pitches_called",-0.00000757666401030438,0.999992423364693
