"","coef_name","coef_value","odds_value"
"1","intercept",3.51834979860771,33.7287233279484
"2","descriptioncalled_strike",-3.03567011728137,0.0480424580049317
"3","pitch_number",-0.0389720765370696,0.961777564931593
"4","ay",0.00641064838852762,1.00643124057448
"5","az",-0.00381877239816924,0.996188509840459
"6","fld_score",0.00329581779476112,1.00330125497391
"7","vz0",0.00325890964241144,1.00326422566168
"8","vx0",-0.00256388145536423,0.997439402481553
"9","ax",-0.00132195859601242,0.998678914806343
"10","at_bat_number",-0.000764961022956907,0.999235331485136
"11","spin_axis",-0.000150411015275747,0.999849600295894
"12","release_spin_rate",0.000120936675633278,1.00012094398877
"13","pitcher_season_pitches_thrown",-0.0000299858836167734,0.999970014565955
"14","ump_season_pitches_called",0.0000132564499727162,1.00001325653784
"15","post_fld_score",0.00000569104029106313,1.00000569105648
