"","coef_name","coef_value","odds_value"
"1","intercept",1.62743743063117,5.09081242918004
"2","in_strike_zone",-4.3271244461878,0.0132054659736538
"3","pitch_number",0.167305737125968,1.18211562669902
"4","count0-1",0.0351492018491057,1.03577423670278
"5","az",-0.00576970691229694,0.994246905880958
"6","vx0",0.00147924062201682,1.00148033523809
"7","ax",0.000560544735378535,1.00056070186994
"8","release_spin_rate",-0.000165308242874024,0.999834705419781
"9","at_bat_number",0.0000620100544288339,1.00006201197709
"10","pitcher_season_pitches_thrown",-0.0000312039778780121,0.999968796508961
"11","spin_axis",0.0000099650719876616,1.00000996512164
"12","ump_season_pitches_called",0.00000757666401032757,1.00000757669271
