"","coef_name","coef_value","odds_value"
"1","intercept",-30.036020430016,0.0000000000000902655575240446
"2","in_strike_zone",1.27570427699349,3.58122269490851
"3","count0-2",0.942029979707951,2.5651834068404
"4","count1-2",0.673962253228104,1.961995864275
"5","count0-1",0.444348668204347,1.55947412988527
"6","pitch_nameSinker",-0.194330077669967,0.823386078051036
"7","count2-2",0.177739467322582,1.19451407074204
"8","count2-0",-0.135522175625078,0.873259797631893
"9","pitch_nameChangeup",0.131742449190743,1.14081446373915
"10","count1-1",0.116516807519959,1.12357639484119
"11","pitch_number",0.10142444589081,1.10674629600247
"12","count3-0",-0.0585591064646078,0.943122494115881
"13","count1-0",-0.053950960921434,0.947478568838531
"14","standR",-0.020633589408366,0.979577826511
"15","game_year",0.0154422549893555,1.01556210272066
"16","ay",0.0145172016391773,1.01462308798155
"17","az",-0.0104759676000398,0.989578714233585
"18","vz0",-0.00599147273986202,0.994026440339836
"19","post_away_score",0.00225483001977797,1.00225737406075
"20","vx0",0.000938758326695898,1.00093919909821
"21","ax",0.000544007908874857,1.00054415590801
"22","vy0",0.000228302232250051,1.00022832829519
"23","release_spin_rate",-0.000146894061505255,0.999853116726899
"24","at_bat_number",0.0000877769759960553,1.00008778082851
"25","pitcher_season_pitches_thrown",-0.0000404688387385388,0.999959531980114
"26","spin_axis",0.0000387861738259791,1.00003878692602
"27","ump_season_pitches_called",0.000018796417839271,1.00001879659449
