"","coef_name","coef_value","odds_value"
"1","intercept",-30.2032959370763,0.0000000000000763616386250512
"2","count0-2",0.621172260980602,1.86110846842035
"3","count1-2",0.409825096413581,1.50655426032454
"4","count0-1",0.261565463129046,1.29896197290393
"5","pitch_nameSinker",-0.1404583474912,0.868959858537148
"6","pitch_number",0.0838501129837874,1.08746588457598
"7","count1-0",-0.0551721184307872,0.946322254433945
"8","count2-0",-0.0388832675473697,0.961862983218351
"9","pitch_nameChangeup",0.0339810333740502,1.03456498433495
"10","game_year",0.0157091485672934,1.01583318589744
"11","ay",0.0122388927202775,1.01231409444993
"12","az",-0.00986709537968742,0.990181424690741
"13","vz0",-0.0034010448172371,0.996604732184551
"14","standR",-0.00183090991757178,0.998170765175521
"15","post_away_score",0.00145348488732899,1.00145454170845
"16","vy0",0.000335821281698093,1.00033587767598
"17","fld_score",0.000272273044877895,1.00027231011455
"18","release_spin_rate",-0.000118866290828563,0.999881140773489
"19","at_bat_number",-0.000102160377413326,0.99989784484078
"20","pitcher_season_pitches_thrown",-0.0000357017815204556,0.999964298855781
"21","ump_season_pitches_called",0.000016250404017088,1.00001625053606
