"","coef_name","coef_value","odds_value"
"1","intercept",0.856682864265042,2.35533475594614
"2","count0-2",0.65103803833273,1.91753026619971
"3","count0-1",0.448743209454435,1.5663423836364
"4","count1-2",0.391699419264907,1.47949293748569
"5","pitch_number",0.232952675084769,1.26232173864439
"6","pitch_nameSinker",-0.108454205943815,0.897219981218438
"7","vz0",-0.0137351980782649,0.986358699363261
"8","count3-0",-0.00943212732757978,0.990612215659635
"9","vx0",0.00783265078398421,1.00786340623961
"10","az",-0.00638884403758781,0.99363152123322
"11","ax",0.00434605130210976,1.00435550907943
"12","vy0",0.00270757087031335,1.00271123965074
"13","fld_score",-0.00219444968709565,0.997807956357316
"14","ay",0.00183374986776617,1.00183543221523
"15","at_bat_number",0.00108484750219169,1.00108543616209
"16","effective_speed",-0.000600048272429097,0.999400131720532
"17","release_spin_rate",-0.000337588027059475,0.999662468949367
"18","spin_axis",0.000334148172924373,1.00033420400664
"19","pitcher_season_pitches_thrown",-0.000014289076914195,0.999985711025174
"20","ump_season_pitches_called",0.00000808176374678899,1.0000080817964
