"","coef_name","coef_value","odds_value"
"1","intercept",1.63673686503378,5.13837491476413
"2","in_strike_zone",-4.25901577199643,0.0141362088180864
"3","pitch_number",0.162427059785946,1.17636251118596
"4","az",-0.00567279974645917,0.994343260199386
"5","vx0",0.000970787279895915,1.00097125864639
"6","ax",0.000277825960761836,1.00027786455797
"7","release_spin_rate",-0.000164641475902778,0.999835372076761
"8","at_bat_number",0.0000515383700979977,1.00005153969822
"9","pitcher_season_pitches_thrown",-0.0000306980186936785,0.999969302452486
"10","ump_season_pitches_called",0.00000752868662738055,1.00000752871497
